GEO_no	SRR_id	merged_SRR	species	tissue	liLBaryType	totalReads	trimmedReads	mappedReads	%mapped	path	batch	merged_tissue	merged_tissue2
RS	ananassae1.acc	dan.ananassae1.acc	dan	AG	PE	16960088	16693444	11948948	71.58%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	AG	AG
RS	ananassae2.acc	dan.ananassae2.acc	dan	AG	PE	17018140	16835488	12072513	71.71%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	AG	AG
#RS	erecta_ovary1	der.erecta_ovary1.ovary	der	OV	PE	18999579	18692474	16443053	87.97%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	OV	OV
#RS	erecta_ovary2	der.erecta_ovary2.ovary	der	OV	PE	19036630	18796606	16827199	89.52%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	OV	OV
#RS	erecta_testis1	der.erecta_testis1.testis	der	TE	PE	19027614	18851909	15953883	84.63%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	TE	TE
#RS	erecta_testis2	der.erecta_testis2.testis	der	TE	PE	19001716	18856562	16216338	86.00%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	TE	TE
#RS	erecta1.acc	der.erecta1.acc	der	AG	PE	16833481	16490493	14058162	85.25%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	AG	AG
#RS	erecta2.acc	der.erecta2.acc	der	AG	PE	17274260	17067633	14258064	83.54%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	AG	AG
RS	cans.acc	dme.cans.acc	dme	AG	PE	17037705	16854435	13022146	77.26%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	AG	AG
RS	cans.ovary	dme.cans.ovary	dme	OV	PE	17286647	16921149	14991635	88.60%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	OV	OV
RS	Floral-city.acc	dme.Floral-city.acc	dme	AG	PE	17055238	16661592	12544037	75.29%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	AG	AG
RS	Floral-city.ovary	dme.Floral-city.ovary	dme	OV	PE	17324757	16982767	14717684	86.66%	/public2/users/aimei/lincRNA_evo/unstranded_htseq_out	1	OV	OV
